account_id,company_name,segment,industry,employee_count,subscription_plan,annual_contract_value,monthly_recurring_revenue,country,region,created_at,contract_start_date,contract_end_date,account_status,churn_status,churn_date,health_score,customer_success_owner,support_plan
acct_0001,Northstar Studios 000,small_business,healthcare,34,starter,418.25,34.85,FR,North America,2023-09-19T00:00:00Z,2023-10-30T00:00:00Z,2024-10-29T00:00:00Z,active,not_churned,,52,,email
acct_0002,Bluefield Collective 001,individual,construction,1,starter,396.28,33.02,FR,Asia Pacific,2023-04-05T00:00:00Z,2023-05-05T00:00:00Z,2024-05-04T00:00:00Z,active,not_churned,,87,,email
acct_0003,Keystone Group 002,agency,manufacturing,168,business,34016.48,2834.71,US,Europe,2023-01-15T00:00:00Z,2023-03-08T00:00:00Z,2024-03-07T00:00:00Z,churned,churned,2024-10-16T00:00:00Z,51,csm_18,priority
acct_0004,Juniper Systems 003,small_business,education,67,starter,479.13,39.93,US,Latin America,2024-03-17T00:00:00Z,2024-04-03T00:00:00Z,2025-04-03T00:00:00Z,active,not_churned,,82,,email
acct_0005,Riverbend Solutions 004,enterprise,healthcare,4248,enterprise,198706.75,16558.9,DE,North America,2024-10-18T00:00:00Z,2024-11-10T00:00:00Z,2025-11-10T00:00:00Z,active,not_churned,,81,csm_13,dedicated
acct_0006,Metroline Labs 005,small_business,healthcare,8,team,4041.58,336.8,GB,North America,2023-09-25T00:00:00Z,2023-09-28T00:00:00Z,2024-09-27T00:00:00Z,active,not_churned,,46,,email_chat
acct_0007,Clearpath Partners 006,mid_market,financial_services,192,enterprise,218868.44,18239.04,IN,Asia Pacific,2024-04-08T00:00:00Z,2024-04-20T00:00:00Z,2025-04-20T00:00:00Z,active,not_churned,,62,csm_04,dedicated
acct_0008,Summit Digital 007,enterprise,retail,11843,enterprise,221190.78,18432.57,FR,North America,2023-06-28T00:00:00Z,2023-06-30T00:00:00Z,2024-06-29T00:00:00Z,trial,not_churned,,39,csm_13,dedicated
acct_0009,Harbor Services 008,individual,education,3,starter,692.14,57.68,CA,Latin America,2023-09-17T00:00:00Z,2023-10-10T00:00:00Z,2024-10-09T00:00:00Z,active,not_churned,,63,,email
acct_0010,Brightlane Works 009,mid_market,consulting,507,business,30640.49,2553.37,AU,Asia Pacific,2024-07-07T00:00:00Z,2024-07-19T00:00:00Z,2025-07-19T00:00:00Z,active,not_churned,,81,csm_12,priority
acct_0011,Northstar Studios 010,mid_market,healthcare,435,enterprise,104972.1,8747.67,AU,Asia Pacific,2024-10-02T00:00:00Z,2024-10-10T00:00:00Z,2025-10-10T00:00:00Z,active,not_churned,,86,csm_16,dedicated
acct_0012,Bluefield Collective 011,small_business,manufacturing,71,team,6496.64,541.39,AU,Asia Pacific,2023-06-21T00:00:00Z,2023-07-05T00:00:00Z,2024-07-04T00:00:00Z,trial,not_churned,,96,,email_chat
acct_0013,Keystone Group 012,small_business,software,77,starter,334.96,27.91,AU,Asia Pacific,2024-08-08T00:00:00Z,2024-08-27T00:00:00Z,2025-08-27T00:00:00Z,churned,churned,2025-11-27T00:00:00Z,31,,email
acct_0014,Juniper Systems 013,small_business,manufacturing,50,team,5374.95,447.91,GB,Europe,2024-06-16T00:00:00Z,2024-07-02T00:00:00Z,2025-07-02T00:00:00Z,active,not_churned,,54,,email_chat
acct_0015,Riverbend Solutions 014,enterprise,consulting,5470,enterprise,149862.16,12488.51,CA,North America,2023-09-22T00:00:00Z,2023-10-24T00:00:00Z,2024-10-23T00:00:00Z,active,not_churned,,79,csm_13,dedicated
acct_0016,Metroline Labs 015,mid_market,manufacturing,232,enterprise,159380.76,13281.73,AU,Europe,2024-05-15T00:00:00Z,2024-07-10T00:00:00Z,2025-07-10T00:00:00Z,active,not_churned,,71,csm_09,dedicated
acct_0017,Clearpath Partners 016,individual,education,3,starter,633.91,52.83,DE,Asia Pacific,2024-01-27T00:00:00Z,2024-03-17T00:00:00Z,2025-03-17T00:00:00Z,trial,not_churned,,39,,email
acct_0018,Summit Digital 017,enterprise,education,8449,enterprise,227703.5,18975.29,CA,North America,2024-03-29T00:00:00Z,2024-04-28T00:00:00Z,2025-04-28T00:00:00Z,active,not_churned,,79,csm_08,dedicated
acct_0019,Harbor Services 018,small_business,healthcare,8,starter,764.45,63.7,IN,Asia Pacific,2023-09-07T00:00:00Z,2023-09-07T00:00:00Z,2024-09-06T00:00:00Z,active,not_churned,,34,,email
acct_0020,Brightlane Works 019,mid_market,education,268,enterprise,118926.2,9910.52,FR,Latin America,2024-05-08T00:00:00Z,2024-05-17T00:00:00Z,2025-05-17T00:00:00Z,churned,churned,2025-07-04T00:00:00Z,44,csm_13,dedicated
acct_0021,Northstar Studios 020,small_business,marketing,67,team,3903.27,325.27,AU,Europe,2024-02-05T00:00:00Z,2024-03-11T00:00:00Z,2025-03-11T00:00:00Z,active,not_churned,,37,,email_chat
acct_0022,Bluefield Collective 021,individual,financial_services,1,starter,459.42,38.28,AU,Europe,2024-07-20T00:00:00Z,2024-08-15T00:00:00Z,2025-08-15T00:00:00Z,active,not_churned,,68,,email
acct_0023,Keystone Group 022,mid_market,education,1093,business,15399.7,1283.31,DE,North America,2023-09-07T00:00:00Z,2023-10-06T00:00:00Z,2024-10-05T00:00:00Z,active,not_churned,,51,csm_14,priority
acct_0024,Juniper Systems 023,individual,financial_services,1,starter,588.31,49.03,IN,North America,2024-12-26T00:00:00Z,2025-01-01T00:00:00Z,2026-01-01T00:00:00Z,churned,churned,2025-07-05T00:00:00Z,15,,email
acct_0025,Riverbend Solutions 024,mid_market,manufacturing,1047,business,22698.33,1891.53,CA,North America,2023-11-03T00:00:00Z,2023-11-15T00:00:00Z,2024-11-14T00:00:00Z,trial,not_churned,,81,csm_09,priority
