question_id,question_type,question,should_abstain,requires_sql_counts,must_include_counterevidence,difficulty
q_001,root_cause,Why are enterprise administrators struggling with onboarding?,False,False,True,hard
q_002,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts?,False,False,False,easy
q_003,release_impact,Did notification complaints increase after version 3.2.0?,False,True,True,hard
q_004,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO?,False,False,True,medium
q_005,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities?,False,True,False,medium
q_006,no_answer,What do customers think about cryptocurrency payments?,True,False,False,medium
q_007,root_cause,Why are enterprise administrators struggling with onboarding? (7),False,False,True,easy
q_008,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (8),False,False,False,hard
q_009,release_impact,Did notification complaints increase after version 3.2.0? (9),False,True,True,easy
q_010,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (10),False,False,True,easy
q_011,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (11),False,True,False,medium
q_012,no_answer,What do customers think about cryptocurrency payments? (12),True,False,False,hard
q_013,root_cause,Why are enterprise administrators struggling with onboarding? (13),False,False,True,hard
q_014,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (14),False,False,False,easy
q_015,release_impact,Did notification complaints increase after version 3.2.0? (15),False,True,True,easy
q_016,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (16),False,False,True,hard
q_017,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (17),False,True,False,easy
q_018,no_answer,What do customers think about cryptocurrency payments? (18),True,False,False,easy
q_019,root_cause,Why are enterprise administrators struggling with onboarding? (19),False,False,True,medium
q_020,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (20),False,False,False,hard
q_021,release_impact,Did notification complaints increase after version 3.2.0? (21),False,True,True,medium
q_022,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (22),False,False,True,hard
q_023,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (23),False,True,False,hard
q_024,no_answer,What do customers think about cryptocurrency payments? (24),True,False,False,hard
q_025,root_cause,Why are enterprise administrators struggling with onboarding? (25),False,False,True,medium
q_026,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (26),False,False,False,medium
q_027,release_impact,Did notification complaints increase after version 3.2.0? (27),False,True,True,easy
q_028,counterevidence,What evidence contradicts the claim that all enterprise customers struggle with SSO? (28),False,False,True,easy
q_029,revenue_impact,Which customer complaints are associated with delayed or lost sales opportunities? (29),False,True,False,medium
q_030,no_answer,What do customers think about cryptocurrency payments? (30),True,False,False,hard
q_031,root_cause,Why are enterprise administrators struggling with onboarding? (31),False,False,True,hard
q_032,segment_comparison,Which reporting problems are most common among mid-market and enterprise accounts? (32),False,False,False,hard
q_033,release_impact,Did notification complaints increase after version 3.2.0? (33),False,True,True,easy
